anio,generica_gasto,pia,pim,certificado,comprometido,devengado,girado,ejecucion_pct_dev_pim,fuente,url,fecha_descarga
2022,BIENES Y SERVICIOS,574189252.0,570519902.0,561361260.39,559619924.16,559579885.39,558854286.84,98.08,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2022-Gasto-Devengado.csv,2026-09-08
2022,DONACIONES Y TRANSFERENCIAS,0.0,816521.0,816520.28,816520.28,816520.28,816520.28,100.0,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2022-Gasto-Devengado.csv,2026-09-08
2022,OTROS GASTOS,37676679.0,64982177.0,64849144.56,64711497.46,64709289.46,64670796.84,99.58,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2022-Gasto-Devengado.csv,2026-09-08
2022,PENSIONES Y OTRAS PRESTACIONES SOCIALES,36980110.0,35102779.0,34492037.47,34112367.97,34112367.97,34109642.27,97.18,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2022-Gasto-Devengado.csv,2026-09-08
2022,PERSONAL Y OBLIGACIONES SOCIALES,48342881.0,44980778.0,43903330.12,43492009.72,43487509.72,43487009.76,96.68,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2022-Gasto-Devengado.csv,2026-09-08
2023,ADQUISICION DE ACTIVOS NO FINANCIEROS,20605928.0,29461624.0,28469592.14,28175779.03,28128178.63,28128178.63,95.47,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2023-Gasto-Devengado.csv,2026-09-08
2023,BIENES Y SERVICIOS,546500394.0,617272932.0,607411256.98,606334714.12,606331863.22,605634544.9,98.23,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2023-Gasto-Devengado.csv,2026-09-08
2023,DONACIONES Y TRANSFERENCIAS,0.0,751939.0,751938.03,751938.03,751938.03,751938.03,100.0,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2023-Gasto-Devengado.csv,2026-09-08
2023,OTROS GASTOS,128096181.0,132242298.0,132173780.33,132102049.45,132054896.76,132045700.83,99.86,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2023-Gasto-Devengado.csv,2026-09-08
2023,PENSIONES Y OTRAS PRESTACIONES SOCIALES,43609349.0,37382826.0,36443057.73,36185902.67,36185902.67,36185892.57,96.8,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2023-Gasto-Devengado.csv,2026-09-08
2023,PERSONAL Y OBLIGACIONES SOCIALES,50732814.0,43949073.0,42872733.94,42783362.96,42691312.96,42670005.26,97.14,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2023-Gasto-Devengado.csv,2026-09-08
2024,ADQUISICION DE ACTIVOS NO FINANCIEROS,26506553.0,32615529.0,31144802.79,30544690.81,30544690.81,30544462.03,93.65,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2024-Gasto-Devengado.csv,2026-09-08
2024,BIENES Y SERVICIOS,185079669.0,193404715.0,189095005.42,188333079.31,188332238.09,187573075.71,97.38,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2024-Gasto-Devengado.csv,2026-09-08
2024,DONACIONES Y TRANSFERENCIAS,100000.0,470777.0,470776.5,470776.5,470776.5,470776.5,100.0,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2024-Gasto-Devengado.csv,2026-09-08
2024,OTROS GASTOS,208649620.0,202980887.0,202966963.07,202937598.0,202896798.0,202782093.85,99.96,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2024-Gasto-Devengado.csv,2026-09-08
2024,PENSIONES Y OTRAS PRESTACIONES SOCIALES,37200538.0,36484175.0,36325572.28,36120810.43,36120810.43,36115429.29,99.0,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2024-Gasto-Devengado.csv,2026-09-08
2024,PERSONAL Y OBLIGACIONES SOCIALES,512075128.0,466661030.0,464644575.79,463729964.44,463708066.1,463434453.0,99.37,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2024-Gasto-Devengado.csv,2026-09-08
2025,ADQUISICION DE ACTIVOS NO FINANCIEROS,17532528.0,16557851.0,16317042.49,16304405.19,16239590.4,16239590.4,98.08,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2025-Gasto-Devengado-Mensual.csv,2026-09-08
2025,BIENES Y SERVICIOS,195330765.0,191645159.0,189225178.53,188619567.15,186351995.36,185788160.82,97.24,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2025-Gasto-Devengado-Mensual.csv,2026-09-08
2025,DONACIONES Y TRANSFERENCIAS,686004.0,634368.0,634368.0,634368.0,634368.0,634368.0,100.0,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2025-Gasto-Devengado-Mensual.csv,2026-09-08
2025,OTROS GASTOS,207835165.0,251558435.0,251537995.64,251288394.25,251285946.44,249339134.18,99.89,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2025-Gasto-Devengado-Mensual.csv,2026-09-08
2025,PENSIONES Y OTRAS PRESTACIONES SOCIALES,39480062.0,34487514.0,34165953.3,33899112.42,33595810.81,33595761.84,97.41,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2025-Gasto-Devengado-Mensual.csv,2026-09-08
2025,PERSONAL Y OBLIGACIONES SOCIALES,535432609.0,510473763.0,508833646.5,508483588.54,507484986.34,507385777.2,99.41,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2025-Gasto-Devengado-Mensual.csv,2026-09-08
