anio,detalle_gasto,pia,pim,certificado,comprometido,devengado,girado,ejecucion_pct_dev_pim,fuente,url,fecha_descarga
2017,"SERVICIOS ADMINISTRATIVOS, FINANCIEROS Y DE SEGUROS",2940771.0,1386715.0,1349523.83,1333263.72,1333263.72,1332603.72,96.15,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2017-Gasto-Devengado.csv,2026-09-08
2017,"SERVICIOS BASICOS, COMUNICACIONES, PUBLICIDAD Y DIFUSION",8191435.0,11910968.0,11352702.16,11157065.79,11156945.79,11069879.33,93.67,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2017-Gasto-Devengado.csv,2026-09-08
2017,"SERVICIOS DE LIMPIEZA, SEGURIDAD Y VIGILANCIA",7531232.0,11925270.0,11898552.85,11898551.5,11894913.26,11894413.26,99.75,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2017-Gasto-Devengado.csv,2026-09-08
2017,SERVICIOS PROFESIONALES Y TECNICOS,49622522.0,39769157.0,37977948.26,37787094.25,37782045.11,37718923.41,95.0,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2017-Gasto-Devengado.csv,2026-09-08
2017,SUBVENCIONES FINANCIERAS,16655551.0,4777801.0,4776846.0,4776846.0,4776846.0,4776846.0,99.98,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2017-Gasto-Devengado.csv,2026-09-08
2017,SUMINISTROS MEDICOS,1110285.0,959236.0,922537.6,922286.06,922286.06,919153.52,96.15,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2017-Gasto-Devengado.csv,2026-09-08
2017,SUMINISTROS PARA MANTENIMIENTO Y REPARACION,437600.0,850945.0,833850.75,832349.81,832349.81,825335.11,97.81,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2017-Gasto-Devengado.csv,2026-09-08
2017,"SUMINISTROS PARA USO AGROPECUARIO, FORESTAL Y VETERINARIO",170.0,2769.0,2766.6,2766.6,2766.6,2766.6,99.91,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2017-Gasto-Devengado.csv,2026-09-08
2017,VESTUARIOS Y TEXTILES,2004642.0,2187239.0,2075685.92,2075351.2,2075351.2,2074985.91,94.88,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2017-Gasto-Devengado.csv,2026-09-08
2017,VIAJES,12566170.0,10221339.0,9403905.23,9396561.9,9395911.9,9049824.24,91.92,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2017-Gasto-Devengado.csv,2026-09-08
