anio,departamento_meta,pia,pim,certificado,comprometido,devengado,girado,ejecucion_pct_dev_pim,fuente,url,fecha_descarga
2020,PROVINCIA CONSTITUCIONAL DEL CALLAO,20635105.0,18735194.0,18661061.83,18642442.98,18639012.98,18628749.5,99.49,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2020-Gasto-Devengado.csv,2026-09-08
2020,PUNO,11322399.0,13135465.0,12998517.19,12982349.63,12982349.63,12948341.82,98.83,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2020-Gasto-Devengado.csv,2026-09-08
2020,SAN MARTIN,4440733.0,3953418.0,3940111.59,3936669.8,3936669.8,3922814.6,99.58,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2020-Gasto-Devengado.csv,2026-09-08
2020,TACNA,6639333.0,7085069.0,6979836.78,6972103.88,6972093.88,6955804.98,98.41,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2020-Gasto-Devengado.csv,2026-09-08
2020,TUMBES,3456222.0,4034346.0,3963272.04,3959911.04,3959911.04,3902009.3,98.15,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2020-Gasto-Devengado.csv,2026-09-08
2020,UCAYALI,1783184.0,2625174.0,2571949.15,2569956.7,2569956.7,2567794.18,97.9,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2020-Gasto-Devengado.csv,2026-09-08
2021,AMAZONAS,20319202.0,4386629.0,4268422.13,4242084.2,4241672.2,4238058.47,96.7,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2021-Gasto-Devengado.csv,2026-09-08
2021,ANCASH,19373047.0,13195030.0,13069493.01,13041288.17,13041252.17,13025605.35,98.83,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2021-Gasto-Devengado.csv,2026-09-08
2021,APURIMAC,5319979.0,5337597.0,5267692.43,5253705.58,5253680.86,5248006.03,98.43,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2021-Gasto-Devengado.csv,2026-09-08
2021,AREQUIPA,38828896.0,22207708.0,21778144.39,21754570.84,21754469.48,21745998.73,97.96,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2021-Gasto-Devengado.csv,2026-09-08
2021,AYACUCHO,8643546.0,8135082.0,8002450.85,7993592.54,7993512.54,7988443.21,98.26,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2021-Gasto-Devengado.csv,2026-09-08
2021,CAJAMARCA,8915597.0,6165441.0,6057242.49,6038593.82,6038593.82,6032814.66,97.94,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2021-Gasto-Devengado.csv,2026-09-08
2021,CUSCO,13630281.0,16882455.0,16624658.86,16608297.99,16608278.27,16591581.18,98.38,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2021-Gasto-Devengado.csv,2026-09-08
